<string><COLOR FF0000>#Rejected#</COLOR> Decorations_None_Explain
<string>Diese Dekoration verstärkt die<lf>Angriffsbonus-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Aufhetzer-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Höchstleistung-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Groll-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Wiederbelebung-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Kritischer-Blick-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Kritischer-Boost-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Schwächevorteil-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Latente-Kraft-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Höchstmacht-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Kritisches-Element-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Meisterschliff-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Feuerangriff-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Wasserangriff-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Eisangriff-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Donnerangriff-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Drachenangriff-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Giftangriff-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Lähmungsangriff-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Schlafangriff-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Explosionsangriff-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Handwerk-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Scharfschwert-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Extraschuss-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Schutzpolitur-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Geistiges-Auge-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Ballistik-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Prügler-Fähigkeit.
<string>
<string>Diese Dekoration verstärkt die<lf>Fokus-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Kraftverlängerung-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Marathon-Läufer-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Konstitution-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Ausdauererholung-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Blocken-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Blocken-hoch-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Offensive-Abwehr-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Kritisches-Ziehen-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Bestrafender-Zug-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Schnelles-Wegstecken-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Lähmer-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Ausdauerdieb-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Affinitätsschlittern-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Horn-Maestro-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Artillerie-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Patronennachlader-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Spezialmunitionsboost-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Normal / Schnell-hoch-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Perforation-hoch-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Schrot-hoch-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Munition-hoch-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Nachladetempo-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Rückstoßdämpfer-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Zielsicherheit-Fähigkeit.
