guid,crc?,<PageAttr>,<TalkAttr>,<VillageProgress>,<HallProgress>,<HunterRank>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
0b3845f0-6668-4f2f-9cd4-54c25cc13a98,464355994,ページ属性,会話属性,村進行度,集会所進行度,必要ハンターランク,会話タグ1,会話タグ1パラメータ,会話タグ1コメント,会話タグ2,会話タグ2パラメータ,会話タグ2コメント,会話タグ3,会話タグ3パラメータ,会話タグ3コメント,会話タグ4,会話タグ4パラメータ,会話タグ4コメント,会話タグ5,会話タグ5パラメータ,会話タグ5コメント,会話タグ6,会話タグ6パラメータ,会話タグ6コメント,会話タグ7,会話タグ7パラメータ,会話タグ7コメント,会話タグ8,会話タグ8パラメータ,会話タグ8コメント,会話タグ9,会話タグ9パラメータ,会話タグ9コメント,nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401,<COLOR FF0000>#Rejected#</COLOR> nid401
987216a4-1c5d-4406-9377-ee4d6389c640,3353324792,,初対面会話,,,,この会話フラグがOFFなら→,NID_401_FIRST,,,,,,,,,,,,,,,,,,,,,,,,,,nid401_v0_001,"あ、<PL>さんだニャ。
ここは修練場だニャ。
修練場では、さまざまな特訓ができるニャ。","Welcome to the Training Area!
Here you can hone your skills
to your heart's content!","Bienvenue à l'Aire d'entraînement !
Ici, tu peux t'entraîner autant
que tu le souhaites !","<LSNR {Benvenuto} {Benvenuta}> nell'area di addestramento!
Qui potrai affinare le tue abilità
come e quanto vuoi!","Willkommen im Trainingsbereich!
Hier kannst du deine Fähigkeiten nach
Lust und Laune verbessern!","¡<LSNR {Bienvenido} {Bienvenida}> a la zona de entrenamiento!
¡Aquí puedes refinar tus habilidades a
placer!","Добро пожаловать в
Тренировочную зону! Тренируйся,
сколько душе угодно!","Witaj na obszarze treningowym!
Możesz tu do woli szlifować
swoje umiejętności.",,,"Bem-vindos à Área de Treinamento!
Aqui você pode melhorar suas habilidades
o quanto quiser!","아, <PL> 씨다냥.
여긴 수련장이다냥.
여기서는 다양한 특훈을 할 수 있다냥.","啊，是<PL>啊喵。
這裡是修練場喵。
你可以在這裡進行各種特訓喵。","啊，是<PL>喵。
这里是修炼场喵。
在修炼场可以进行各种特训喵。",,,,,,,,"مرحبًا في منطقة التدريب!
هنا يُمكن صقل
<LSNR {مهاراتك بشكل يرضي ضميرك} {مهاراتكِ بشكل يرضي ضميركِ}>!",,,,,,,,,,,
d1f40018-5369-49ce-8248-c6c2faa89a01,4290274487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid401_v0_002,"近接武器の特訓をするならからくり蛙が、
遠距離武器の特訓なら
奥にある的がもってこいニャ！","If you're into melee combat, hit up the
Toadversary! Literally! Or if ranged
weapons are more your fur-te...","Si tu préfères le combat rapproché, tu
n'as qu'à attaquer le Combatracien ! Ou
si tu es plus arme à distance...","Se ami i combattimenti ravvicinati, prrrova
il rospo meccanico. Se invece prrreferisci
le armi a distanza...","Wenn dir Nahkampf liegt, hau die Kampfkröte
an! Buchstäblich! Oder wenn Fernkampfwaffen
eher dein Ding sind...","Si lo tuyo es el ataque cuerpo a cuerpo,
¡atiza al saprobot sin miedo! O si eres más
de atacar desde la distancia...","Если любишь ближний бой, вдарь
по Жабоврагу! Буквально! А если
предпочитаешь стрелять...","Jeśli lubisz walkę w zwarciu, miau-ćwicz
na Ropuchotworze. A jeśli
preferujesz broń dystansową...",,,"Se você curte combate corpo a corpo,
bate lá no Saponente! Literalmente! Se
você curte mais combate a distância...","근접 무기를 훈련한다면 개굴모형을,
원거리 무기를 훈련한다면
안쪽에 있는 과녁이 딱 좋다냥!","若要進行近戰武器的特訓，可以使用機關蛙。
如果要進行遠距離武器的特訓，
可以使用裡面的標靶！","如果要做近战武器的特训，
机关蛙最适合，
远程武器的话，就用里面的靶子喵！",,,,,,,,"إذا <LSNR {كنت تحب} {كنتِ تحبين}> معارك الاشتباك،
<LSNR {فاضرب} {فاضربي}> وحش التدريب هذا! حرفيًا! أو إذا كانت
أسلحة المدى البعيد هي <LSNR {غايتك} {غايتكِ}>...",,,,,,,,,,,
76ab3908-57a9-4a3a-8b61-5b1801006c06,2566939427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid401_v0_003,"…って、<PL>さんも、
ハンターになる前はここで特訓して
鍛えたんだから、説明は不要だったニャ。","Wait... Why am I telling you this!? You've been
coming here to purr-actice for ages meow.
Well, I guess a little refresher never hurts!","Une minute ! Pourquoi je te dis ça ?
C'est pas ta première fois ici. Enfin,
y a pas de mal à se rappeler les bases !","Un miaomento, perché ti dico queste cose!?
Ormai vieni qui ad allenarti da un bel po'.
Beh, ripassare non fa mai male!","Moment... Warum erzähl ich dir das?!
Du trainierst hier schon ewig. Na ja, eine
kleine Auffrischung schadet ja nicht.","Espera... ¿Y yo para qué te cuento todo esto?
¡Si llevas años viniendo a purracticar!
Bueno, siempre viene bien recordarlo.","Стой, да чего я тебе рассказываю? Ты
же давно сюда ходишь. Ладно,
напомнить не повредит.","Zaraz... Po co ja ci to wszystko mówię?!
Przecież trenujesz tu mrrr-egularnie.
Cóż, lepiej się powtórzyć niż zapomnieć.",,,"Espera... Por que tô te contando isso?
Você vem aqui treinar há eras.
Bom, não custa relembrar!","…<PL> 씨도 헌터가
되기 전에 여기서 훈련을 했으니
설명할 필요가 없었다냥.","……不過，在<PL>當上
獵人之前，已經在這裡特訓過了，
所以應該不需要我多加說明吧喵。","……呃，<PL>当上猎人之前
也是在这里做特训练出来的，
用不着给你介绍了喵。",,,,,,,,"لحظة... لمَ أقول <LSNR {لك} {لكِ}> هذا!؟ <LSNR {أراكَ تأتي} {أراكِ تأتين}>
إلى هنا للتدريب من فترة بعيدة.
حسنًا، أظن أن تحديث المعلومات لن يضر!",,,,,,,,,,,
419c0366-c490-4619-89fd-25f02fdb560d,3580739582,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid401_v0_004,"でも、初心を忘れてはいけないニャ！
いつでもここに来て、新しい武器を試すなり
扱い方を復習するなりするといいニャ！","Anymew, drop by whenever you're feeling
a little rusty or when you wanna try out
somethin' new without endin' up on a cart.","Bref, hésite pas à passer si tu veux te
rafraîchir la mémoire ou essayer un
nouveau truc sans prendre de risques.","Comiaunque, vieni a trovarmi quando vuoi
ripassare le basi o se vuoi prrrovare
qualcosa di nuovo.","Komm vorbei, wenn du dich eingerostet
fühlst oder etwas Neues probieren willst,
ohne dabei gleich zu sterben.","En cualquier caso, déjate caer cuando te
sientas un poco <LSNR {oxidado} {oxidada}> o quieras probar
alguna triquiñuela nueva sin correr riesgos.","В общем, заходи, когда нужно будет
размяться или опробовать
что-то новое в безопасной обстановке.","Wpadaj zawsze, gdy będziesz <LSNR {chciał} {chciała}> się
rozruszać lub na spokojnie potrenować
coś miau-nowego.",,,"Enfim, venha sempre que se sentir um
tanto enferrujado ou quando quiser
testar alguma coisa nova sem perigos.","그래도 초심을 잃으면 안 된다냥!
언제든 여기 와서 새로운 무기를 시험하고
사용법을 복습해도 좋다냥!","不過俗話說莫忘初衷喵！
你隨時可以來這裡測試新武器，
或是複習使用方法喵！","但是，不能忘记初心喵！
你随时都可以来这里试试新武器，
或者复习一下使用方法喵！",,,,,,,,"على أي حال، <LSNR {قُم بزيارتي} {قومي بزيارتي}> إذا
<LSNR {شعرت} {شعرتِ}> بالملل أو إذا <LSNR {أردت} {أردتِ}>
تجربة شيء جديد دون أن ينتهي <LSNR {بك} {بكِ}> الحال على نقالة.",,,,,,,,,,,
94077e36-846e-41df-ae4f-92586673f4ff,1305139821,,(default)世間話,村進行チュートリアル,,,このクエストが未クリアなら→,QN030101,,この会話フラグがONなら→,EV_PRO_VILL_001_01_06,,,,,,,,,,,,,,,,,,,,,,,nid401_v0_005,"修練場は本来、ハンターや、ハンターを
目指す人が特訓をする場所だけど、
ハンターじゃない人もいっぱい来るニャよ。","The Training Area was originally for
hunters and hunter-aspirants to come
train, but lots of non-hunters come too.","L'Aire d'entraînement était pour les
chasseurs et les apprentis chasseurs,
mais maintenant tout le monde vient.","L'area di addestramento è stata pensata per i
cacciatori e gli aspiranti tali, ma in realtà
è frequentata da tante altre perrrsone.","Ursprünglich wurde der Trainingsbereich
erbaut, damit Jäger hier trainieren können.
Aber es kommen auch Nicht-Jäger her.","La zona de entrenamiento estaba pensada
para cazadores y aspirantes, pero vienen
muchos que no lo son.","Изначально Тренировочная зона создана
для охотников и тех, кто хочет ими
стать, но и другие тоже приходят.","Obszar treningowy powstał z myślą
o łowcach i kandydatach na łowców, ale
przychodzi tu też wiele innych osób.",,,"A Área de Treinamento era só pra
caçadores e aspirantes a caçadores
treinarem, mas agora todos vêm aqui.","수련장은 원래 헌터와 헌터가 되고자
하는 사람들을 위한 곳이지만
헌터가 아닌 사람도 많이 온다냥.","修練場原本是給獵人，
或是想成為獵人的人進行特訓的地方，
不過也有很多獵人以外的人會來這裡喵。","修炼场本来是猎人，
以及立志成为猎人的人进行特训的地方，
但是也有很多猎人以外的人会来喵。",,,,,,,,"صُممت منطقة التدريب من أجل الصيادين
والراغبين في الصيد للتدريب، ولكن
كثيرًا من غير الصيادين يأتون أيضًا.",,,,,,,,,,,
cb515fd5-4a46-4743-8b8e-afff368654de,258415282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid401_v0_006,"５０年前の百竜夜行以来、この里では
ハンターじゃない人もみんな、なにかしらの
武器が使えるようにしてるからニャ～。","Ever since the Rampage fifty years ago,
even regular people realized that they
needed to be able to wield a weapon.","Depuis la Calamité d'il y a cinquante ans,
même les villageois ont compris qu'ils
devaient apprendre à manier une arme.","Dall'inizio della furia cinquant'anni fa,
anche la gente comune si è resa conto
di dover imparare a usare un'arma.","Nach der Randale vor 50 Jahren haben sogar
gewöhnliche Leute erkannt, wie wichtig es
ist, mit einer Waffe umgehen zu können.","Después del Frenesí de hace cincuenta años,
la gente empezó a darse cuenta de que incluso
ellos podrían necesitar blandir un arma.","Когда 50 лет назад пришло Буйство,
даже обычный народ понял, что нужно
уметь обращаться с оружием.","Od czasu Furii pięćdziesiąt lat temu
nawet zwykli ludzie są świadomi, że
powinni umieć posługiwać się bronią.",,,"Desde o Frenesi, há cinquenta anos,
até pessoas comuns perceberam que
precisavam saber usar uma arma.","50년 전 백룡야행 이후, 이 마을은
헌터가 아닌 사람도 무기를 한 가지씩은
다룰 수 있게 훈련하기 때문이다냥~","自從50年前的百龍夜行之後，
村裡那些不是獵人的人，
也都開始練習使用一些武器喵。","自从50年前那场百龙夜行之后，
这座村子里并非猎人的人
也都学会使用某些武器了喵～",,,,,,,,"منذ خمسين عامًا، عندما بدأ الغضب العارم،
أدرك القرويون
أهمية التدرب على حمل السلاح.",,,,,,,,,,,
0b699ad1-01dd-4e9a-8a26-45a4bc57d83d,599524350,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid401_v0_007,"<PL>さんも、負けないように
いっぱい特訓しに来るニャよ！","So, keep training, <PL>!
Anyone could be a rival for best warrior
in Kamura!","Continue de t'entraîner, <PL>,
sinon n'importe qui dans le village
pourrait finir par te surpasser !","Continua ad allenarti, <PL>.
Chiunque può diventare un degno rivale del
miglior guerriero di Kamura!","Also trainiere weiter, <PL>!
In Kamura sind alle potenzielle Konkurrenten
um den Titel des größten Kampftalents!","Así que te diré una cosa, <PL>,
sigue entrenando: ¡cualquiera podría aspirar
al título de mayor guerrero de Kamura!","Так что тренируйся, <PL> —
соперником лучшему воину Камуры
может стать каждый!","Więc, <PL>, trenuj ciężko!
Miano <LSNR {najlepszego wojownika} {najlepszej wojowniczki}> Kamury
nie jest dane na zawsze!",,,"Então, continue treinando, <PL>!
A qualquer momento pode aparecer um
concorrente a melhor guerreiro de Kamura!","<PL> 씨도 질 수 없다냥.
열심히 훈련하러 와라냥!","<PL>，
你也要多來這裡特訓，
不要輸給他們了喵！","<PL>也要勤来训练，
别输给他们喵！",,,,,,,,"لذلك، <LSNR {واصل} {واصلي}> التدريب يا <PL>!
يُمكن لأي أحد أن يصبح منافسًا
لأفضل مقاتل في كامورا!",,,,,,,,,,,
9b047825-b5d7-48d0-a5b4-06da7b69c7ed,1371748719,,(default)世間話,村進行☆3,,,このクエストが未クリアなら→,QN000402,,このクエストがクリア済みなら→,QN000304,,,,,,,,,,,,,,,,,,,,,,,nid401_v3_000,"<PL>さん、
マガイマガドに会ったらしいニャ。","<PL>, I heard you encountered
Magnameowlo.","<PL> ! Il paraît que
tu as vu le Magnamalo...","Ehi, <PL>, ho sentito che ti sei
<LSNR {imbattuto} {imbattuta}> nel Magnamiaolo.","Du bist also Magnamiaulo begegnet,
<PL>.","He oído que te las has visto con Magnamalo,
<PL>.","<PL>, я слышал, ты
<LSNR {сразился} {сразилась}> с Магнамало.","<PL>, słyszałem, że <LSNR {miałeś} {miałaś}>
spotkanie z Magna-miau-lo.",,,"<PL>, soube que
encontrou o Magnamiaulo.","<PL> 씨.
마가이마가도를 만났다면서냥?","<PL>，
聽說你遇見怨虎龍了喵。","<PL>，
你好像遇到怨虎龙了喵。",,,,,,,,"سمعت <LSNR {أنك واجهت} {أنكِ واجهتِ}> ماجنامالو،
يا <PL>.",,,,,,,,,,,
7c986c68-e911-42c7-af0b-2c35ac94ff9e,2573769507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid401_v3_001,"マガイマガドは、５０年前の百竜夜行にも
出たって、コガラシさんやハモンさんに
聞いたことがあるニャ。","Magnameowlo showed up some fifty
years ago too. I heard about it from
Meowster Hamon and Kogarashi.","Le Magnamalo est apparu la première fois
il y a cinquante ans. En tout cas, c'est ce
que disaient Miaoussieur Hamon et Kogarashi.","Il Magnamiaolo è apparso anche
cinquant'anni fa. Me ne hanno parlato
il miaestro Hamon e Kogarashi.","Magnamalo ist vor 50 Jahren schon mal
aufgetaucht. Miauster Hamon und Kogarashi
haben mir davon erzählt.","No es la primera vez que aparece, ya lo hizo
hará unos cincuenta años. Me lo contaron
el maestro Hamon y Kogarashi.","Магнамало являлся сюда и пятьдесят лет
назад. Я слышал об этом от
Мяустера Хамона и Когараси.","Magna-miau-lo pojawił się tu już 50 lat
temu. Słyszałem o tym od
Miaustrza Hamona i Kogarashiego.",,,"Magnamiaulo apareceu há uns cinquenta
anos também. Eu soube dele graças ao
Hamon e ao Kogarashi.","마가이마가도는 50년 전, 백룡야행에서도
나타난 적이 있다고 코가라시 씨와
하몬 씨에게 들은 적이 있다냥.","我以前聽秋風頭領和刀紋先生說，
怨虎龍在50年前的百龍夜行
也曾經出現過喵。","我曾经听冬风和刀纹说过，
在50年前的百龙夜行里，
也出现过怨虎龙。",,,,,,,,"وأن ماجنامالو ظهر منذ خمسين
عامًا أيضًا. سمعت عن ذلك من
السيد هامون وكوجاراشي.",,,,,,,,,,,
