guid,crc?,<PageAttr>,<TalkAttr>,<VillageProgress>,<HallProgress>,<HunterRank>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkAction1>,<TalkAction1Param>,<TalkAction1Comment>,<TalkAction2>,<TalkAction2Param>,<TalkAction2Param2>,<TalkAction2Comment>,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
371ee11d-831c-427c-86b4-c743c5a26f9c,4058871230,ページ属性,会話属性,村進行度,集会所進行度,必要ハンターランク,会話タグ1,会話タグ1パラメータ,会話タグ1コメント,会話タグ2,会話タグ2パラメータ,会話タグ2コメント,会話タグ3,会話タグ3パラメータ,会話タグ3コメント,会話タグ4,会話タグ4パラメータ,会話タグ4コメント,会話タグ5,会話タグ5パラメータ,会話タグ5コメント,会話タグ6,会話タグ6パラメータ,会話タグ6コメント,会話タグ7,会話タグ7パラメータ,会話タグ7コメント,会話タグ8,会話タグ8パラメータ,会話タグ8コメント,会話タグ9,会話タグ9パラメータ,会話タグ9コメント,会話アクション1,会話アクション1パラメータ,会話アクション1コメント,会話アクション2,会話アクション2パラメータ,会話アクション2パラメータ2,会話アクション2コメント,nid021,日本語メッセージ,英語メッセージ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62f25015-15f9-4cc0-94b4-a3457e291971,2224576564,会話終了,(default)世間話,村進行チュートリアル,,,この会話フラグがOFFなら→,EV_PRO_VILL_001_01_06,,この会話フラグがONなら→,EV_PRO_VILL_001_01_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid021_v0_000,グルルルルル……,Grrrrrrr...,Grrrrrrr...,Grrrrrr...,Grrrrrrr...,Grrr...,Гр-р-р-р...,Grrrrrrr...,,,Grrrrrrr...,크르르르르르……,吼嚕嚕嚕嚕嚕……,嗷呜呜呜呜呜……,,,,,,,,غرررررر...,,,,,,,,,,,
3ec672a0-19d5-43ad-8115-7dce3be55802,2407265960,会話終了,(default)世間話,村進行チュートリアル,,,このクエストが未クリアなら→,QN030101,,この会話フラグがONなら→,EV_PRO_VILL_001_01_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid021_v0_001,グルルルルル……,Grrrrrrr...,Grrrrrrr...,Grrrrrr...,Grrrrrrr...,Grrr...,Гр-р-р-р...,Grrrrrrr...,,,Grrrrrrr...,크르르르르르……,吼嚕嚕嚕嚕嚕……,嗷呜呜呜呜呜……,,,,,,,,غرررررر...,,,,,,,,,,,
3de97266-abdf-42a3-8f9a-c5e51c7b08e4,4016549148,会話終了,(default)世間話,村進行☆1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid021_v1_000,ガウッ！,Ruff ruff!,Ouaf ouaf !,Bau bau!,"Wuff, wuff!","¡Guau, guau!",Гав-гав!,Hau hau!,,,Ruff ruff!,컹!,嘎嗚！,嘎呜！,,,,,,,,روف روف!,,,,,,,,,,,
8c43f3f4-9527-4a8a-a96d-ca77b7b524ca,1550607382,会話終了,(default)世間話,村進行☆2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid021_v2_000,ガウッ！,Ruff ruff!,Ouaf ouaf !,Bau bau!,"Wuff, wuff!","¡Guau, guau!",Гав-гав!,Hau hau!,,,Ruff ruff!,컹!,嘎嗚！,嘎呜！,,,,,,,,روف روف!,,,,,,,,,,,
125f586d-e69d-4a0c-a1e7-93c6c4f0ebeb,1938473422,会話終了,(default)世間話,村進行☆3,,,この会話フラグがOFFなら→,EV_PRO_VILL_003_02_01,,このクエストがクリア済みなら→,QN000303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid021_v3_000,ガウッ！,Ruff ruff!,Ouaf ouaf !,Bau bau!,"Wuff, wuff!","¡Guau, guau!",Гав-гав!,Hau hau!,,,Ruff ruff!,컹!,嘎嗚！,嘎呜！,,,,,,,,روف روف!,,,,,,,,,,,
50f24ba4-8dde-4f01-919a-7b0d1c67735f,1928498354,会話終了,(default)世間話,村進行☆3,,,このクエストが未クリアなら→,QN000304,,この会話フラグがONなら→,EV_PRO_VILL_003_02_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid021_v3_001,"ウーワンワン！
グルルルル…。","Arf! ARF!
Grrrrrr...","Ouaf ! OUAF !
Grrrrr...",Arf! ARF! Grrrrrr...,"Wau! WAU!
Grrrrrr...","¡Guau! ¡Guau!
Grrr...","Арф! Арф!
Гр-р-р...","Hau! HAU!
Grrrrrrr...",,,"Arf! ARF!
Grrrrrr...","멍멍!
크르르르르…","嗚～汪汪！
吼嚕嚕嚕嚕……","呜汪汪！
嗷呜呜呜呜……",,,,,,,,"هررف! هررف!
غررررر...",,,,,,,,,,,
9cc6ac33-2bd8-41fa-9888-61e50d60f7b7,4179764675,会話終了,(default)世間話,村進行☆3,,,このクエストが未クリアなら→,QN000402,,このクエストがクリア済みなら→,QN000304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid021_v3_002,アオーン！,Awoo!,Aaaouuuh !,Auuu!,*jaul*,¡Auuu!,У-у-у!,Auuu!,,,Awoo!,멍!,嗷嗚──！,嗷——！,,,,,,,,أعووو!,,,,,,,,,,,
8b52ddf2-5381-47a4-b7a9-6fbecd30416e,610946210,会話終了,(default)世間話,村進行☆4,,,この会話フラグがOFFなら→,EV_PRO_VILL_004_99_01,,このクエストがクリア済みなら→,QN000402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid021_v4_000,ガウッ！,Ruff ruff!,Ouaf ouaf !,Bau bau!,"Wuff, wuff!","¡Guau, guau!",Гав-гав!,Hau hau!,,,Ruff ruff!,컹!,嘎嗚！,嘎呜！,,,,,,,,روف روف!,,,,,,,,,,,
3b409fd5-6a55-41e6-9e93-5f1e1e001261,482666931,会話終了,(default)世間話,村進行☆4,,,このクエストが未クリアなら→,QN000501,,この会話フラグがONなら→,EV_PRO_VILL_004_99_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid021_v4_001,"ワオーン！
ワン！　ワン！","Awoo!
Woof!! Woof!!","Aaaouuuh !
Ouaf ouaf !","Auuu!
Bau!!! Bau!!!","Ahuu!
Wuff! Wuff!","¡Auuu!
¡Guau, guau!","У-у-у!
Гав! Гав!","Auuu!
Hau! Hau!",,,"Auuu!
Au!! Au!!","멍!
멍! 멍!","嗷嗚──！
汪！汪！","汪——！
汪！汪！",,,,,,,,"أعووو!
ووف!! ووف!!",,,,,,,,,,,
cc4724bf-9522-43ed-a43e-d8dcba10ce5f,2839020505,会話終了,(default)世間話,村進行☆5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid021_v5_000,クゥン！,*whimper*,*gémissement*,*guaito*,*winsel*,Aiiing...,*скулит*,*skomlenie*,,,Snif.,컹!,吼！,嚎！,,,,,,,,*صوت أنين*,,,,,,,,,,,
505f6db9-f859-495e-8ec7-4f9133cdca61,1128408778,会話終了,(default)世間話,村進行☆6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid021_v6_000,クゥン！,*whimper*,*gémissement*,*guaito*,*winsel*,Aiiing...,*скулит*,*skomlenie*,,,Snif.,컹!,吼！,嚎！,,,,,,,,*صوت أنين*,,,,,,,,,,,
b7a33c04-81e7-4a40-bbb3-0e51ba65b2c6,3644306124,会話終了,(default)世間話,,集会所進行☆1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid021_h1_000,グルルルルル……,Grrrrrrr...,Grrrrrrr...,Grrrrrr...,Grrrrrrr...,Grrr...,Гр-р-р-р...,Grrrrrrr...,,,Grrrrrrr...,크르르르르르……,吼嚕嚕嚕嚕嚕……,嗷呜呜呜呜呜……,,,,,,,,غرررررر...,,,,,,,,,,,
