guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
592a158c-10f8-4a6d-bcbf-e8b6641c1f27,3655409665,Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_TopMenu_01
c2d1fe52-4d3a-40f6-b3d1-53d0a60563df,361133923,Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_TopMenu_01
7f59d05f-8332-4326-8aad-cea6f6bd7c1f,2883786032,Option_common_TrainingArea_001_Menu,頭の位置,Head Position,Position de la tête,Posizione testa,Kopfposition,Posición de la cabeza,Расположение головы,Pozycja głowy,,,Posição da Cabeça,머리 위치,頭部位置,头部位置,,,,,,,,وضعية الرأس,,,,,,,,,,,
25cac750-9959-41df-b4ce-cc108dd590f8,2852921769,Option_common_TrainingArea_002_Menu,向き,Direction,Orientation,Direzione,Richtung,Dirección,Направление,Kierunek,,,Direção,방향,方向,方向,,,,,,,,الاتجاه,,,,,,,,,,,
d3860ae3-609c-4ae8-a3a4-83416ffe4a77,297659424,Option_common_TrainingArea_003_Menu,サーチ,Track Player,Suivre le joueur,Segui giocatore,Spieler verfolgen,Seguir jugador,Отслеживать игрока,Śledź gracza,,,Rastrear Jogador,서치,鎖定,锁定,,,,,,,,تتبع اللاعب,,,,,,,,,,,
07400d1d-c555-47c8-8143-1a2099759ce2,1670866443,Option_common_TrainingArea_004_Menu,アクション,Actions,Actions,Azioni,Aktionen,Acciones,Действия,Akcje,,,Ações,액션,動作,动作,,,,,,,,الحركات,,,,,,,,,,,
e17745aa-b58f-4cd5-b18d-c90d4d4e8102,1259607428,Option_common_TrainingArea_005_Menu,標的,Targets,Cibles,Obiettivi,Ziele,Objetivos,Цели,Cele,,,Alvos,표적,目標,目标,,,,,,,,الأهداف,,,,,,,,,,,
06b03c08-c339-4e90-993c-34bee675b7e8,1438658149,Option_common_TrainingArea_006_Menu,翔蟲ゲージ<COL RED>（個別）</COL>,Wirebug Gauge <COL RED>(Individual)</COL>,Jauge de Filoptère <COL RED>par Filoptère</COL>,Barra insetto filo <COL RED>(singolo)</COL>,Seilkäfer-Balken <COL RED>(Individuell)</COL>,Indicador cordóptero <COL RED>(individual)</COL>,Шкала Прутожука <COL RED>(индивидуальная)</COL>,Pasek kablobaka<COL RED>(osoba)</COL>,,,Barra do Cabinseto <COL RED>(Individual)</COL>,밧줄벌레 게이지<COL RED>(개별)</COL>,翔蟲計量表<COL RED>（個別）</COL>,翔虫槽<COL RED>（个别）</COL>,,,,,,,,مقياس حشرة الحرير <COL RED>(فردي)</COL>,,,,,,,,,,,
73edbf0a-6530-4fb2-af04-ef4fdaa77d44,2895343452,Option_common_TrainingArea_007_Menu,高,High,Élevée,Alto,Hoch,Alto,Выс.,Wysoka,,,Alto,고,高,高,,,,,,,,مرتفع,,,,,,,,,,,
