guid,crc?,<PageAttr>,<TalkAttr>,<VillageProgress>,<HallProgress>,<HunterRank>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkAction1>,<TalkAction1Param>,<TalkAction1Comment>,<TalkAction2>,<TalkAction2Param>,<TalkAction2Param2>,<TalkAction2Comment>,<KohakuProgress>,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
63a98238-54fe-4f44-a57b-33ad496d8e96,5887504,ページ属性,会話属性,村進行度,集会所進行度,必要ハンターランク,会話タグ1,会話タグ1パラメータ,会話タグ1コメント,会話タグ2,会話タグ2パラメータ,会話タグ2コメント,会話タグ3,会話タグ3パラメータ,会話タグ3コメント,会話タグ4,会話タグ4パラメータ,会話タグ4コメント,会話タグ5,会話タグ5パラメータ,会話タグ5コメント,会話タグ6,会話タグ6パラメータ,会話タグ6コメント,会話タグ7,会話タグ7パラメータ,会話タグ7コメント,会話タグ8,会話タグ8パラメータ,会話タグ8コメント,会話タグ9,会話タグ9パラメータ,会話タグ9コメント,会話アクション1,会話アクション1パラメータ,会話アクション1コメント,会話アクション2,会話アクション2パラメータ,会話アクション2パラメータ2,会話アクション2コメント,MR進行度,nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR,<COLOR FF0000>#Rejected#</COLOR> nid007_MR
bfaecc11-6ec4-4f29-bd89-23c91aee64c1,2618456718,,(default)世間話,-,,,この会話フラグがONなら→,EV_PRO_HALL_ADD_008_99_01,,この会話フラグがOFFなら→,EV_PRO_MR_002_01_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid007_base0_000,"少し前に、王国から女の人が来てたニャ。
ハモン師匠に弟子入りしたニャ。","Did you meet Meowster Hamon's new
ap-purr-entice from the Kingdom?
She was so nice!","Tu as rencontré la nouvelle
apprentie de Miaître Hamon ?
Elle vient du Royaume, elle est très sympa !","Hai incontrato la nuova apprendista
del miaestro Hamon giunta dal regno?
È stata gentilissima.","Hast du Miauster Hamons neuen
Lehrling aus dem Königreich getroffen?
Sie war so nett, miau!","¿Pudiste conocer a la nueva aprendiz del
miauestro Hamon que vino del reino?
¡Es muy simpática!","Ты уже знаешь нового мур-мастерья
Мяустера Хамона из Королевства?
Она просто милашка!","<LSNR {Spotkałeś} {Spotkałaś}> nową uczennicę Miaustrza
Hamona z Królestwa? Jest taka miau-ła!",,,"Você conheceu a nova aprendiz
do miaustre Hamon, lá do Reino?
Ela era tão legal!","얼마 전에 왕국에서 한 여자가 찾아와서
하몬 스승님의 제자가 되었다냥.","前陣子從王國來了一個女人
向刀紋師傅拜師學藝喵。","不久前，王国那边来了个女人喵。
她拜刀纹师父为师了喵。",,,,,,,,"هل <LSNR {قابلت} {قابلتِ}> تلميذة السيد هامون
الجديدة القادمة من المملكة؟
كانت لطيفة جدًّا!",,,,,,,,,,,
e7991760-9c53-4379-a057-17bdd4273712,1411229358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid007_base0_001,"もう、ほんとに、すぐに！
師匠の技を覚えちゃったニャ！
オイラ、びっくりしたニャ！","And talented too! Meowster Hamon was
im-purr-essed with how fast she picked
up his techniques! Said she was a natural!","Et elle a du talent ! Miaître Hamon
a été impressionné ! Il a dit
qu'elle avait chat dans le sang !","E ha un talento innato. Il miaestro Hamon
è rimasto colpito dalla velocità con cui
ha imparato le sue tecniche.","Und auch talentiert! Miauster Hamon war
beeindruckt, wie schnell sie lernte!
Sie sagt, sie sei ein Naschnurrtalent!","Y tiene muchísimo talento. El miauestro
está impresionado con el ritmo al que
aprende. ¡Dice que ha nacido para esto!","И очень талантлива! Мяустер Хамон был
мур-чатлен тем, как быстро она учится!
Сказал, что у нее дар от природы!","I utalentowana! Miaustrz Hamon był pod
wrażeniem, jak szybko opa-miau-wała jego
techniki! Ma wrodzony dar!",,,"E talentosa também! O miaustre Hamon
ficou impressionado com a rapidez com
que ela aprendeu suas técnicas!","그 짧은 시간에!
스승님의 기술을 습득했다냥!
깜짝 놀랐다냥!","她真的是一轉眼、一下子
就把師傅的技術給學起來了喵！
把我嚇了一跳喵！","真的没几天！她就学会了师父的本事喵！
吓俺一跳喵！",,,,,,,,"وموهوبه أيضًا! اندهش السيد هامون
بمدى سرعتها في تعلم
تقنياته! كما قال إنها موهوبة بطبيعتها!",,,,,,,,,,,
df3d9756-a2f1-45cd-9d54-855fdda3b3ef,252322145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid007_base0_002,"すぐに帰っちゃったんニャけど…
すごく元気な人だったニャ。
オイラも、なかよしになったのニャ！","We became really good fur-iends too!
But before I knew it, she was gone...","On est devenus amis...
Mais elle est partie très vite.","Siamo diventati ottimi a-mici,
ma prima che me ne accorgessi,
se n'era andata.","Wir sind echt gute Freunde geworden!
Aber plötzlich war sie weg... *maunz*","Hicimos muy buenas migas, pero se marchó
antes de que pudiese darme cuenta...","Мы очень сдружились! Но когда я это понял,
она уже уехала...","Zaprzy-miau-źniłem się z nią, ale zanim
się zorientowałem, już jej tu nie było...",,,"Nós viramos excelentes amiaugos também!
Mas, do nada, ela foi embora...","금방 돌아갔는데…
무척 활기찬 사람이었다냥.
나랑도 친해졌다냥!","她雖然待在村裡的時間不長……
但她是個非常有精神的人喵！
我們也變成了好朋友喵！","她很快就回去了喵……是个超有活力的人喵。
俺也跟她成了好朋友喵！",,,,,,,,"لقد أصبحنا أصدقاء مقربين أيضًا!
لكنها رحلت قبل أن أعرف ذلك...",,,,,,,,,,,
8359e247-4dee-45c3-91c2-645ec3100717,3091008459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid007_base0_003,"また遊びに来るって言ってたけど
お手紙、書く約束したのニャ！
もう書いたニャ。出したニャ。","She did say she'd come back and visit!
And she purr-omised to keep in touch!
I already sent her a letter!","Enfin, elle a dit qu'elle reviendrait !
Et qu'on resterait en contact !
Je lui ai déjà écrit !","Ha detto che sarebbe tornata
e ha prrromesso di scrivermi.
Le ho già inviato una lettera.","Sie sagte, sie käme zu Besuch!
Sie wollte in Verbindung bleiben!
Ich hab ihr schon einen Brief geschickt!","¡Dijo que volvería algún día de visita!
Y me prometió que mantendríamos el contacto.
¡Ya le he enviado una carta!","Она сказала, что вернется! А еще
мур-мещала быть на связи!
Я уже написал ей письмо!","Powie-miau-ła, że wróci i nas odwiedzi!
I obiecała pozostać w kontakcie.
Sam już wysłałem jej list!",,,"Ela disse que voltaria pra me visitar!
E ela promiauteu manter contato!
Eu já mandei uma carta pra ela!","또 놀러온다고 해서
편지를 쓰겠다고 약속했다냥!
사실 벌써 보냈다냥.","她臨走之前說今後還會來玩，
我們還約好了要寫信給對方喵！
我已經寫好了信，也寄出去了喵！","她说会再来玩，约好了要写信联系的喵！
信已经写好了喵，寄出去了喵。",,,,,,,,"لقد قالت إنها ستعود لزيارتنا!
ووعدت بالبقاء على اتصال!
لقد أرسلت لها رسالة بالفعل!",,,,,,,,,,,
9a2678ff-af4a-4290-95b8-d0ddb99c66ed,2940586235,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid007_base0_004,"お返事、来るかニャ？
来るといいニャ！　楽しみだニャ！","I hope she can read my paw-writing...
Do you think she'll write back!?
Oh, I hope so!","J'espère qu'elle arrivera à me
déchiffrer. Tu crois qu'elle va me
répondre ? J'espère, j'espère !","Chissà se riuscirà a leggere la mia
gattigrafia... Pensi che risponderà?
Oh, lo spero proprio!","Hoffentlich ist meine Pfotenschrift
lesbar... Meinst du, sie schreibt
zurück?! Oh, ich hoffe sehr!","Espero que pueda entender mis garabatos.
¿Crees que me responderá? ¡Ojalá!","Надеюсь, она сможет разобрать
мои каракули... Она мне ответит,
как думаешь?! Я так на это надеюсь!","Mam nadzieję, że odczyta moje pismo
odłapkowe... Myślisz, że odpisze? Mam
miau-dzieję, że tak!",,,"Eu escrevi a carta à pata. Será que
ela vai entender? Será que ela vai
me responder?! Ah, espero que sim!","답장이 올까냥?
오면 좋겠다냥! 기대된다냥!","不知道她會不會回信喵？
真希望能收到回信喵！好期待啊喵！",有回信喵？希望有喵！好期待喵！,,,,,,,,"آمل أن تتمكن من قراءة خطي...
هل <LSNR {تعتقد} {تعتقدين}> أنها سترد على رسالتي؟
أوه، أتمنى ذلك!",,,,,,,,,,,
15324c5f-d774-46b0-b910-8da31bbbe589,459042309,,(default)世間話,-,,,この会話フラグがONなら→,EV_PRO_MR_002_01_01,,この会話フラグがOFFなら→,EV_PRO_MR_003_01_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid007_base2_000,"王国の拠点でハンターをしてるなんて
さすが<PL>さんだニャ。
すごいニャ。","Tails of your deeds over in the Kingdom
are already making their way back to
the village!","On commence déchat à entendre
parler de tes missions
au Royaume par ici !","Le storie delle tue imprese nel regno
stanno già arrivando qui nel villaggio.","Geschichten über deine Taten im
Königreich bahnen sich bereits
ihren Weg ins Dorf!","¡Los relatos de tus aventuras por el reino
ya han llegado a mis puntiagudas orejas!","Слухи о твоих подвигах в Королевстве
начинают потихоньку
просачиваться в деревню!","Opowieści o twoich doko-miau-niach
w Królestwie już dotarły
do wioski!",,,"As histórias dos seus feitos no Reino
já estão chegando à Aldeia Kamura!","왕국 거점에서 헌터 일을 하다니
역시 <PL> 씨다냥!
대단하다냥.","能在王國的據點擔任獵人，
真不愧是<PL>喵。
太厲害了喵。","在王国的据点里当猎人，真不赖喵。
<PL>，你太厉害了喵。",,,,,,,,"إن نتائج <LSNR {إنجازاتك} {إنجازاتكِ}> في المملكة
يتردد صداها بالفعل في
القرية!",,,,,,,,,,,
74117e40-72b8-4837-9f67-9c5ba2b30468,80227792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid007_base2_001,"オイラ、よくわからないニャけど
モンスターの調査をしてるのニャ？
また、怖いモンスターが出るニャ？","I have no idea what's going on, but it
sounds like you're investigating some
purr-etty scary meownsters.","J'ai l'impression que tu te frottes
à des monstres chacrément
effrayants.","Non so cosa stia succedendo,
ma a quanto pare stai indagando
su alcuni miaostri terrificanti.","Ich weiß nicht, was vor sich geht,
aber es klingt, als würdest du ein paar
echt gruselige Miaunster erforschen.","Yo no entiendo mucho de estas cosas,
pero parece que estás investigando a
unos cuantos monstruos de tomo y lomo.","Понятия не имею, что происходит,
но похоже ты охотишься на
мур-жасно страшных монстров.","Nie bardzo się w tym orientuję,
ale miau-gląda na to, że badasz
całkiem straszne miaustra.",,,"Não tenho ideia do que tá acontecendo,
mas parece que você anda investigando
uns miaunstros bem miaudonhos.","잘은 모르지만
몬스터를 조사하고 있는 거냥?
무서운 몬스터도 나오냥?","我不太清楚你的工作，
你最近正在調查魔物嗎喵？
又有可怕的魔物會出現嗎喵？","俺不是很懂喵，你是不是在调查怪物喵？
又出来可怕的怪物了喵？",,,,,,,,"ليس لديّ أي فكرة عما يحدث، لكن يبدو
<LSNR {أنك} {أنكِ}> <LSNR {تحقق} {تحققين}> في أمر بعض
الوحوش المخيفة جدًّا.",,,,,,,,,,,
bb88b767-e28a-4e3e-8953-784f2208002e,1233201565,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid007_base2_002,"<PL>さんはいつも
強いモンスターに立ち向かってて
本当にえらいニャ。尊敬するニャ。","At least they sound scary to me. You've
been up against so many meownsters
I bet you're not afur-aid of anything now!","Enfin, effrayants pour moi.
Toi, tu as l'habitude, je parie
que tu n'as plus peur de rien !","Terrificanti per me... Tu ne hai
affrontati talmente tanti che ora
non hai paura di niente.","Für mich zumindest klingen sie gruselig.
Nach dem Kampf gegen so viele Miaunster
hast du bestimmt vor nichts Angst!","A mí me daría un miedo que no veas.
¡Te has peleado con tantos monstruos
que seguro que ya nada te asusta!","Мне вот они кажутся именно такими.
Но тебе уже, наверно, ничего не страшно
после всех твоих схваток с монстрами!","Przy-miau-mniej mnie się takie wydają.
<LSNR {Walczyłeś} {Walczyłaś}> z tyloma miaustrami!
Pewnie niczego się już nie boisz!",,,"Pelo menos eu acho miaudonho.
Você já enfrentou tantos miaunstros.
Aposto que agora não tem medo de nada!","<PL> 씨는 늘
강한 몬스터와 맞서 싸우니
정말 대단하다냥. 존경한다냥.","<PL>一直都面對著強大的魔物，
真的很了不起，令人尊敬喵。","你总是去挑战强大的怪物，真的了不起喵。
<PL>，俺很尊敬你喵。",,,,,,,,"على الأقل يبدون مخيفين بالنسبة لي. لقد
<LSNR {واجهت} {واجهتِ}> الكثير من الوحوش
وأراهن <LSNR {أنك} {أنكِ}> لا <LSNR {تهاب} {تهابين}> أي شيء الآن!",,,,,,,,,,,
09a871fe-10ea-4dde-a64c-c3d03765a18e,2606179643,,(default)世間話,-,,,この会話フラグがONなら→,EV_PRO_MR_003_01_01,,この会話フラグがOFFなら→,EV_PRO_MR_004_01_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid007_base3_000,"そうそう、王国の拠点にも
うさ団子屋さんがあるって聞いたニャ。","I heard you can buy Bunny Dango
in Elgado! Is it true, <PL>?","Il paraît qu'on trouve des dango lapins
à Elgado ! C'est vrai, <PL> ?","Ho sentito che a Elgado è possibile
acquistare dango a coniglietto.
È vero, <PL>?","Man soll in Elgado Dango kaufen können!
Stimmt das, <PL>?","Me han dicho que venden dango en Elgado,
¿es eso cierto, <PL>?","Говорят, ты можешь купить данго
в Элгадо! Это правда, <PL>?","Słyszałem, że w Elgado można kupić
króliczkowe dango! Czy to prawda,
<PL>?",,,"Ouvi dizer que vendem dango de coelho
em Elgado! É verdade, <PL>?","그렇지, 왕국 거점에도
토끼 경단 가게가 있다고 들었다냥.","對了，我聽說王國的據點
也有兔兔糰子店喵。","对了对了，俺听说王国的据点里
也有卖兔团子的喵。",,,,,,,,"سمعت أنه <LSNR {يمكنك} {يمكنكِ}> شراء دانجو الأرانب
في إلجادو! هل هذا صحيح يا <PL>؟",,,,,,,,,,,
